window_ms,direction,lag,lag_ms,f_statistic,p_value,significant_5pct,n_observations
100,BTC->ETH,1,100,13099.8387,0.0,True,1727999
100,ETH->BTC,1,100,27660.5609,0.0,True,1727999
100,BTC->ETH,2,200,6517.3679,0.0,True,1727999
100,ETH->BTC,2,200,14590.476,0.0,True,1727999
100,BTC->ETH,3,300,4236.9313,0.0,True,1727999
100,ETH->BTC,3,300,10290.5822,0.0,True,1727999
100,BTC->ETH,4,400,3180.522,0.0,True,1727999
100,ETH->BTC,4,400,7898.7016,0.0,True,1727999
100,BTC->ETH,5,500,2503.3135,0.0,True,1727999
100,ETH->BTC,5,500,6440.6907,0.0,True,1727999
100,BTC->ETH,6,600,2071.5381,0.0,True,1727999
100,ETH->BTC,6,600,5450.6009,0.0,True,1727999
100,BTC->ETH,7,700,1763.0127,0.0,True,1727999
100,ETH->BTC,7,700,4715.3445,0.0,True,1727999
100,BTC->ETH,8,800,1542.2999,0.0,True,1727999
100,ETH->BTC,8,800,4153.5611,0.0,True,1727999
100,BTC->ETH,9,900,1367.5548,0.0,True,1727999
100,ETH->BTC,9,900,3713.696,0.0,True,1727999
100,BTC->ETH,10,1000,1221.833,0.0,True,1727999
100,ETH->BTC,10,1000,3388.6926,0.0,True,1727999
200,BTC->ETH,1,200,4165.1508,0.0,True,863999
200,ETH->BTC,1,200,12959.6271,0.0,True,863999
200,BTC->ETH,2,400,1933.1291,0.0,True,863999
200,ETH->BTC,2,400,7266.1396,0.0,True,863999
200,BTC->ETH,3,600,1226.4537,0.0,True,863999
200,ETH->BTC,3,600,5188.9809,0.0,True,863999
200,BTC->ETH,4,800,911.7342,0.0,True,863999
200,ETH->BTC,4,800,3999.3064,0.0,True,863999
200,BTC->ETH,5,1000,710.1226,0.0,True,863999
200,ETH->BTC,5,1000,3318.0776,0.0,True,863999
200,BTC->ETH,6,1200,587.4697,0.0,True,863999
200,ETH->BTC,6,1200,2788.8941,0.0,True,863999
200,BTC->ETH,7,1400,501.7359,0.0,True,863999
200,ETH->BTC,7,1400,2410.8498,0.0,True,863999
200,BTC->ETH,8,1600,441.3511,0.0,True,863999
200,ETH->BTC,8,1600,2115.5371,0.0,True,863999
200,BTC->ETH,9,1800,390.0562,0.0,True,863999
200,ETH->BTC,9,1800,1894.8625,0.0,True,863999
200,BTC->ETH,10,2000,352.4095,0.0,True,863999
200,ETH->BTC,10,2000,1714.9837,0.0,True,863999
500,BTC->ETH,1,500,651.0341,1.809749439097919e-143,True,345599
500,ETH->BTC,1,500,5527.2978,0.0,True,345599
500,BTC->ETH,2,1000,264.2209,2.1775288830170243e-115,True,345599
500,ETH->BTC,2,1000,3228.7184,0.0,True,345599
500,BTC->ETH,3,1500,169.371,1.0026435025533317e-109,True,345599
500,ETH->BTC,3,1500,2262.6571,0.0,True,345599
500,BTC->ETH,4,2000,127.972,2.169463739793222e-109,True,345599
500,ETH->BTC,4,2000,1744.6753,0.0,True,345599
500,BTC->ETH,5,2500,102.0214,6.3283490593878e-108,True,345599
500,ETH->BTC,5,2500,1403.3904,0.0,True,345599
500,BTC->ETH,6,3000,83.3284,1.0193885653330296e-104,True,345599
500,ETH->BTC,6,3000,1177.7947,0.0,True,345599
500,BTC->ETH,7,3500,72.6588,1.3555410700036859e-105,True,345599
500,ETH->BTC,7,3500,1019.1596,0.0,True,345599
500,BTC->ETH,8,4000,64.3401,5.882114132308171e-106,True,345599
500,ETH->BTC,8,4000,893.3796,0.0,True,345599
500,BTC->ETH,9,4500,57.2369,3.980350074914836e-105,True,345599
500,ETH->BTC,9,4500,799.341,0.0,True,345599
500,BTC->ETH,10,5000,51.5224,2.963234009696182e-104,True,345599
500,ETH->BTC,10,5000,720.9293,0.0,True,345599
1000,BTC->ETH,1,1000,89.667,2.8519280300421727e-21,True,172799
1000,ETH->BTC,1,1000,3024.6922,0.0,True,172799
1000,BTC->ETH,2,2000,32.3356,9.108851026740429e-15,True,172799
1000,ETH->BTC,2,2000,1662.835,0.0,True,172799
1000,BTC->ETH,3,3000,20.4639,2.9797682219068077e-13,True,172799
1000,ETH->BTC,3,3000,1144.0594,0.0,True,172799
1000,BTC->ETH,4,4000,16.6041,1.3019512475316553e-13,True,172799
1000,ETH->BTC,4,4000,868.9967,0.0,True,172799
1000,BTC->ETH,5,5000,13.4469,3.874892384683013e-13,True,172799
1000,ETH->BTC,5,5000,703.311,0.0,True,172799
1000,BTC->ETH,6,6000,15.043,2.7071967925466754e-17,True,172799
1000,ETH->BTC,6,6000,595.6394,0.0,True,172799
1000,BTC->ETH,7,7000,12.7955,1.5330764704536284e-16,True,172799
1000,ETH->BTC,7,7000,512.9487,0.0,True,172799
1000,BTC->ETH,8,8000,11.1834,6.025048178470206e-16,True,172799
1000,ETH->BTC,8,8000,450.5999,0.0,True,172799
1000,BTC->ETH,9,9000,9.9918,1.70171439237213e-15,True,172799
1000,ETH->BTC,9,9000,401.0709,0.0,True,172799
1000,BTC->ETH,10,10000,9.06,4.113545869766745e-15,True,172799
1000,ETH->BTC,10,10000,360.3255,0.0,True,172799
